index,title,genres,story_line,cast,director
1996,Udanchhoo,Comedy,Guru G is running a black money operation through his ashram with help from his trusted devotee Billu and Julia. The film goes on to show how all the characters get involved in a huge con mystery resulting in a funny and dramatic climax.,"Prem Chopra,Ashutosh Rana,Rajneesh Duggal,Bruna Abdullah",Vipin Parashar
1997,Delhi 47 KM,Drama,This films story revolves around a few people who are driven into helplessness due to the various departments in India society that are inflicted by a poor system. We follow the journey of ...       »,"Rajneesh Dubey,Shadab Khan,Shadab Khan,Dolly Tomar",
1998,Dirty Mind,Drama,Man had accident which paralyzed him and he is trying to find happiness for his family and his wife.,"Mamta Nigam,Pramod,Rekha,Shradha",Raj
1999,Love Trainning,Comedy,,"Shakti Kapoor,Ratnakar Mavilach,Akhilendra Mishra,Usha Nadkarni",
2000,Hamara Tiranga,"Adventure, Drama, History",This period film depicts the story of a remote Indian village people's war against the British Empire during the year 1942's and ultimate victory of their freedom from British slavery.,"Rahul Dev,Harry Key,Thomas Munro,Ashmit Patel",Sajeev Balath
2001,Bhaag Bawre Aandhi Aayi,Drama,,"Durgesh Kumar,Saharsh Kumar Shukla",Gaurav Bal
2002,Ashok Vatika,Drama,A young Widow's quest for love and companionship in a close-minded society where her desires are suppressed.,"Deepak Sampat,Sanjay Bishnoi,Kunj Anand,Paras Zutshi",Rahul Mallick
2003,Hey Ram Hamne Gandhi Ko maar Diya,Drama,This movie is inspired by non-violence movements taken by Mahatma Gandhi (Mohan Das Karamchand Gandhi) during his struggle for Independent India from 1915 to 1947.,"Jatin Goswami,Subrat Dutta,Pratima Kazmi,Samiksha Bhatnagar",Naeem A. Siddiqui
2004,Krina,Thriller,The entire people of a tribal region live in fear of their Kabila Sardar who is a cruel dictator. He mercilessly rapes and kills people who don't follow his dictate. No one knows how to end...       »,"Parth Singh Chauhan,Tunisha Sharma,Inder Kumar,Deepshikha Nagpal",Shyamal K. Mishra
2005,My Dear Wife,Drama,"Saajan and Ila a middle aged married couple, who keeps fighting with each other because over the years their marriage has turned so sour that the only way they can keep their passion alive ...       »","Aakansha Kadre,Meenal Kapoor,Jagat Rawat,Nakul Vaid",Chandan Kumar
2006,The Legend of Peacock,Drama,,"Tammy Bartaia,Tatuli Bartaia,Humayoon Shams Khan",Atul Garg
2007,Badla Hindustani Ka,Drama,The whole theme of this movie is patriotic but the story belongs to an ex-military officer.,"Ali Khan,Mushtaq Khan,Monalisa,Anjana Singh",Laxman Yaara
2008,Uns,"Drama, Romance","UNS The story of two love birds Ali & Sanno, a true love with no terms and condition. 'UNS' is based on real life story which revolves around the physically and mentally challenged couple.","Shirin Parveen Khan,Mirza Azhar,Samir Raees",Singh Sahab
2009,Intercity,"Action, Drama, Sci-Fi","When Tarun is bitten by a zombie, he's given an antidote which pauses his zombification for an hour so that he can help curb down the rising apocalypse.",,Achyut Prashast SinghStar:Achyut Prashast Singh
2010,Punyatithi: Death Anniversary,Drama,,"Anamika,Rahul Rajput,Deepraj Rana,Aadhya Sharma",Rajnish Baba Mehta
2011,Bhoot Bhaijaan,"Drama, Thriller",,"Hamed Kamal,Adnan Sajid Khan,Aziz Naser,Arshad Nawab",Habieb Naseer
2012,Kashmir Daily,"Drama, Thriller",Kashmir Daily Story of a Journalist. It highlights the core problems faced by today's generation Unemployment and Drugs.From an origin of humanity it has always been a battle between Good and Evil.,"Zameer Ashai,Shahid Gulfam,Hussein Khan,Sanam",Hussein Khan
2013,The Poison at the East Palace,"Action, Drama","The prince at the East Palace travels incognito and gets poisoned due to eating inappropriate food. Since the doctors in the royal hospital have no idea how to cure the poisoning, the top ...       »","Li Haiming,Liu Jing,Li Yan",Xu Chao
2014,Billu Ustaad,Drama,An extraordinary story of a small boy and his journey from orphanage to being a son of an IAS officer and his fight against terrorism to save his dear friends.,"Neel Bakshi,Sneha Arun,Abhishek Bardia,Priyanshu Chatterjee",Suvahhdan Angre
2015,Black Future,Action,,"Dharmendra,Dhruv,A. Pandey,Vendola",
2016,Chholyar,Drama,,"Deva Dhami,Manzoor Hussain,Mithilesh Pande",Kamal Mehta
2017,Compromise,Drama,A small town girl with a dream to become a Bollywood heroine comes to Mumbai only to find out that it is a dangerous place for an outsider. Will she be able to make it big or will she lose herself in this dreamy world?,"Suresh Chauhan,Rock Mahi",
2018,Honey Bunny in Himalayan Car Rally,"Action, Adventure, Comedy",honey bunny are off to take part in a himalayan car rally along with the gang in order to save the house form the bank during that race they cross paths with a gang of smugglers who are ...       »,"Dolly Lopes,Meena Nahata,Mubeen Saudagar,Ghanshyam N. Shukla",
2019,Kabaddi,Thriller,,"Jai Yadav,Kiran Kumar,Shahbaaz Khan,Urmila Sharma",S.P. Nimbawat
2020,Maut Phir Aayegi,Horror,"A One night Horror Fiction based on true events, group of friends go for a trip and stuck in a lonely jungle, stays overnight in abandoned resort and paranormal activities happen.","Parveer Aggarwal,Neeta Yadav",
2021,Auto Romance in Mumbai,Romance,,"Sidhaarth Jaaju,Mahi Sharma,Ayushi Tiwari",Shakti Shankar Jaju
2022,Objection My God,Comedy,,"Makrand Deshpande,Sanjay Mishra,Zarina Wahab,Subhash Yadav",
2023,Maal Road Dilli,Comedy,"MAAL ROAD DELHI"" is a Bollywood Movie which is slated to be released in multiple cinema houses across the country . The movie is produced by ""VIDYA MOVIES INTERNATIONAL"" and directed by Mr....       »","Rhythm Arora,Mannveer Choudharry,Neha Kargeti,Matin Khan",Atul Sriva
2024,Chakarghinni,Drama,About a life in a Village where basic amenities still lacks even after 65 years of independence. But Village people have desire and hope to walk with the pace of the country. They try every possible way despite various obstacles.,"Ayush Kapse,Raja Kapse,Sunaina Shukla",Rrajesh Kumaarr
2025,Hijrat,"Drama, Thriller",An Indian refugee searches for his daughter following vertical division of country and finds her in a tragic state,"Mahabir Bhullar,Manni Boparai,Sohaj Brar,Vijay Jora",Gurmeet Brar
2026,Mere Paas Baap Hai,Comedy,"Story of a widower Sagar Oberoi, a billionaire living in Delhi surrounded by pretentious characters and situations. The movie takes an interesting twist when Sagar devices a diabolical plan to teach all of them a lesson of a lifetime.","Mohit Das,Afsheen Jamal,Shadab Khan,Madhuruchi Lamba",Faisal Simon
2027,Jannat E Milan,Musical,"Jannat e Milan is a Hindi movie starring Rishabh Vaidya and Shakshi Diwedi in prominent roles. The cast also includes Ajay Azad Singh, Atul (Andy), Udit Kaushik and Raghav . It is a musical...       »","Rishabh Vaidya,Shakshi Diwedi,Ajay Azad Singh,Udit Kaushik",Shekhar Ujjainwal
2028,Pyar Se Bolo Devaa,"Drama, Romance",,"Aisha,Devaa,Bablu Rai",Tiger Yd Yadav
2029,2007 the last encounter,Drama,,"Bidita Bag,Sameer Dharmadhikari,Jatin Goswami,Sanjay Shejwal",Partha Sarkar
2030,Hamari paltan,Drama,"THE Movie revolves around children from two separate backgrounds, who become friends through the game. These kids start a movement by getting inspired THROUGH A retired professor. THE MOVIE...       »","Tom Alter,Manoj Bakshi,Shatrughan Kumar",Jainendra Jigyasu
2031,Chhappan Bhai,Comedy,"The story of the film is comedy, in which two friends (Raj, Rahul) come to the house of their third friend (Chandu) and they started to live there. One evening, all of them are passing ...       »","Noushad Ullah,Mon,Raj,Shilpa",Arjun Mahadev Vriti
2032,Terror Strike,Action,"A story of Humanity , duty, amidst the cries of Kashmir. Terror Strike - is a story of Sarah Rathore, a 21 year ols daughter of late Col. Vikram Rathore, who is passionate to become a ...       »","Rajat Bedi,Gayatri,Raj Hussain,Zakir Hussain",Kamal Nathani
2033,Note Pe Chot at 8-11,Comedy,,"Manoj Bakshi,Priya Choudhury,Mohit Gandhi,Ranbeeir Kalsi",Imran Khan
2034,Zeenat,Drama,"A woman has more to her than what meets the eyes. And if pushed to a corner, she will fight back and how...Zeenat is a story not of one girl but of the whole womankind. It is a saga of ...       »","Mallika Sherawat,Shreyas Talpade",Saandesh Nayak
